[OK] Fetching active + stale/unchecked catalog rows from Supabase...
[OK] 1175 row(s) due for a review check (unchecked or >182 days stale).
[1/1175] Illini Summer Academies... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[544/1175] Northeastern University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[545/1175] NSTI Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[546/1175] NURPH... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[547/1175] Nurse Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[548/1175] Nursing Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[549/1175] NYC Commuter Summer... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[550/1175] NYC Residential Summer... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[551/1175] NYLF Medicine & Health Care... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[552/1175] Oakland University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[553/1175] Oakland University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[554/1175] Oakland University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[555/1175] Ocean Awareness Contest... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[556/1175] ODU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[557/1175] Odyssey of the Mind... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[558/1175] OGStem Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[559/1175] Ohio University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[560/1175] OKStars Summer Research Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[561/1175] Online Leadership Intensive... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[562/1175] Online Pre-College Programs... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[563/1175] Online Research Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[564/1175] Online Summer... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[565/1175] OPTIMUS Research Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[566/1175] OSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[567/1175] OSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[568/1175] OSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[569/1175] OSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[570/1175] OSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[571/1175] OU Health... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[572/1175] OUHSC... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[573/1175] Outreach Ambassador Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[574/1175] Parrhesia Ambassador Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[575/1175] PATHS-UP Young Scholar... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[576/1175] Pathways Research Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[577/1175] Patricia Grodd Poetry Prize... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[578/1175] Pediatrics Internship Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[579/1175] Penn State Behrend... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[580/1175] PennRSSA... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[581/1175] Perusing through the Americas... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[582/1175] PGSS... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[583/1175] Physical Therapy Summer Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[584/1175] Physics Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[585/1175] Pirates Pitch Competition... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[586/1175] Plant Signal Transduction and Reproduction... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[587/1175] Plant The Moon Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[588/1175] PME University of Chicago... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[589/1175] POETS... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[590/1175] Pollinator Health and Ecology... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[591/1175] Pomona College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[592/1175] Poultry Summer Science Institute... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[593/1175] Pre-Baccalaureate... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[594/1175] Pre-Baccalaureate Program... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[595/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[596/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[597/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[598/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[599/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[600/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[601/1175] Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[602/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[603/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[604/1175] Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[605/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[606/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[607/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[608/1175] Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[609/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[610/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[611/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[612/1175] Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[613/1175] Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[614/1175] Pre-College... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[615/1175] Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[616/1175] Pre-College Connect... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[617/1175] Pre-College Enrichment Program... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[618/1175] Pre-College Flute... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[619/1175] Pre-College Programs... mixed, 2 search(es), $0.0295 [changed]
[620/1175] Pre-College Residential Programs at UMass Amherst... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[621/1175] Pre-College Scholars Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[622/1175] Pre-College Studies... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[623/1175] Pre-College Summer Academies... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[624/1175] Pre-Collegiate... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[625/1175] Pre-Collegiate Summer Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[626/1175] Pre-Law and Mock Trial Summer Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[627/1175] Precollege Academic Campus Experience (PACE)... positive, 1 search(es), $0.0152 [changed]
[628/1175] Precollege Summer Institutes... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[629/1175] PRIMES... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[630/1175] Princeton University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[631/1175] Principles of Engineering... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[632/1175] PRISM High School Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[633/1175] Program for Automation Robotics and Coding... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[634/1175] Program in Music Technology... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[635/1175] Project Ignite... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[636/1175] Project Success... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[637/1175] PSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[638/1175] Psychology and Its Impact on Everyday Life... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[639/1175] PULSE... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[640/1175] PUMaC Math Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[641/1175] Quantitative Skills Program... positive, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[642/1175] Quantum Information Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[643/1175] Quantum Quickstart... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[644/1175] Quantum School... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[645/1175] R Programming & Machine Learning Camp... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[646/1175] Raikes School Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[647/1175] RBS-PREP Pre-College Enrichment... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[648/1175] Reconstructive Surgery Internship... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[649/1175] Red Hat Shelton Challenge... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[650/1175] Reflections Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[651/1175] Reischhauer Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[652/1175] Research & Stats Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[653/1175] Research Apprentice Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[654/1175] Research Experience... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[655/1175] Research Experience for High School Students... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[656/1175] Research Experience Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[657/1175] Research Experiences... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[658/1175] Research Immersion... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[659/1175] Research in Engineering Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[660/1175] Research in Science & Engineering Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[661/1175] Research Institute Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[662/1175] Research Intensive in Food Science.... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[663/1175] Research Intern... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[664/1175] Research Mentorship Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[665/1175] Research Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[666/1175] Residency Program... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[667/1175] RIBS - Research in Biological Sciences... positive, 1 search(es), $0.0152 [changed]
[668/1175] Rice University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[669/1175] RITMS Research Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[670/1175] Robinson Center... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[671/1175] Robotics Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[672/1175] Robotics Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[673/1175] Robotics Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[674/1175] RPI... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[675/1175] RPI... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[676/1175] RSI Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[677/1175] Rural Medicine Summer Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[678/1175] Rutgers University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[679/1175] SAIS Summer Programs... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[680/1175] Sam Houston State University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[681/1175] Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[682/1175] Scholars Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[683/1175] Scholars Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[684/1175] Scholastic Art & Writing Awards... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[685/1175] Scholastic Press Association... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[686/1175] Scholastic Press Association Contests... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[687/1175] Sci-High Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[688/1175] Science Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[689/1175] Science Accelerating Girls’ Engagement... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[690/1175] Science Explorations Program... positive, 1 search(es), $0.0151 [changed]
[691/1175] Science Internship... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[692/1175] Science of Smart Cities... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[693/1175] Science of Smart Cities... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[694/1175] Science Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[695/1175] Science Training Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[696/1175] Scientific Training and Enrichment Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[697/1175] Screenwriters Workshop... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[698/1175] Scripps College of Communication... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[699/1175] SCUBA Summer Coding... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[700/1175] SCUDEM - SIMIODE Challenge... positive, 2 search(es), $0.0293 [changed]
[701/1175] SDSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[702/1175] SEAD... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[703/1175] Secondary School... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[704/1175] SEEing Art... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[705/1175] SEES STEM Enhancement in Earth Sciences... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[706/1175] Sejong Korea Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[707/1175] Self-Paced Program... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[708/1175] Senate Page Program... positive, 2 search(es), $0.0294 [changed]
[709/1175] SEP Intern Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[710/1175] Sequencing Your Genome Camp... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[711/1175] Shadow Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[712/1175] SHINE Poster Session... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[713/1175] Sibling Circles... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[714/1175] Siblinghood Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[715/1175] Simmons Research... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[716/1175] SLE Summer Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[717/1175] Smash Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[718/1175] SMU... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[719/1175] Solve For Tomorrow... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[720/1175] Sounds of New York City... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[721/1175] Space Astronomy Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[722/1175] Space Physics Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[723/1175] SPARX... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[724/1175] Speech & Debate... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[725/1175] Speech & Debate Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[726/1175] Speech & Debate Tournament... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[727/1175] SpHERES... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[728/1175] Sports Business Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[729/1175] Sports Industry Management Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[730/1175] Sports Journalism Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[731/1175] SPS High School Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[732/1175] SPUN Debate Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[733/1175] SRMP... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[734/1175] SSRP... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[735/1175] SSU Innovation... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[736/1175] Stanford Anesthesia Summer Institute... mixed, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[737/1175] Stanford E-China Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
